QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,Destination,Carrier_index,Origin,ARR_DELAY,class,class2
2,4,29,6,12,48,1100,1255,175.0,985.0,97,15,232,-21.0,0,1
2,6,16,5,42,17,820,845,85.0,402.0,234,23,296,-14.0,0,1
4,11,27,1,6,36,2051,510,319.0,2586.0,196,3,338,-27.0,0,1
3,7,21,5,8,48,2015,2329,134.0,775.0,24,20,96,201.0,5,3
1,3,24,5,6,6,1840,2000,80.0,337.0,206,23,266,47.0,4,2
3,9,28,4,12,25,1425,1734,189.0,1121.0,45,15,232,-23.0,0,1
3,7,28,5,8,36,55,629,214.0,1620.0,215,20,96,-18.0,0,1
2,6,29,4,36,8,2210,30,260.0,1620.0,96,23,215,71.0,5,3
2,5,31,3,48,12,1250,1558,128.0,817.0,195,20,176,-16.0,0,1
3,7,20,4,29,13,1745,2027,102.0,484.0,22,6,360,-19.0,0,1
1,2,25,6,4,2,1820,2222,362.0,2552.0,17,2,290,17.0,2,2
4,10,27,5,51,6,1732,2020,348.0,2311.0,206,6,95,-26.0,0,1
3,7,18,2,6,24,2327,730,303.0,2329.0,57,15,206,-3.0,1,1
3,7,7,5,48,17,915,1138,143.0,802.0,274,1,97,-8.0,0,1
1,2,21,2,48,48,2208,2247,39.0,89.0,6,7,97,-9.0,0,1
3,7,26,3,53,48,15,603,228.0,1660.0,97,1,336,-10.0,0,1
3,7,16,7,6,41,805,944,99.0,451.0,118,18,338,-13.0,0,1
4,10,26,4,40,27,1144,1350,126.0,694.0,258,18,270,-18.0,0,1
1,1,23,1,48,13,1234,1545,131.0,803.0,22,7,149,41.0,4,2
2,5,18,4,12,48,630,750,140.0,781.0,166,23,373,-11.0,0,1
1,2,27,1,12,25,1235,1543,188.0,1237.0,45,3,129,-1.0,1,1
2,4,16,7,13,29,2039,2124,105.0,484.0,360,6,22,9.0,2,2
1,1,3,2,13,1,1950,1951,61.0,134.0,35,6,22,-12.0,0,1
4,10,9,1,13,55,815,915,120.0,669.0,244,23,22,-9.0,0,1
3,8,8,2,6,13,910,1637,267.0,1892.0,22,6,326,-26.0,0,1
1,3,30,4,12,48,600,754,174.0,918.0,97,1,195,55.0,4,2
2,5,31,3,12,25,2138,101,203.0,1258.0,45,1,242,-11.0,0,1
4,12,16,6,42,12,700,927,147.0,823.0,232,15,208,8.0,2,2
1,3,18,6,21,13,1136,1311,95.0,304.0,22,6,213,-5.0,1,1
4,11,28,2,24,12,1410,1650,160.0,925.0,129,23,57,-22.0,0,1
